unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge3/cpp/bridge3.cpp)	rust_home	calls
e021_setCommonField	021/130	0	5	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:257	708-712	src/bridges/sentient_to_progir/uniform/instr.rs	-
e022_hasCommonField	022/130	0	3	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:262	715-717	src/bridges/sentient_to_progir/uniform/instr.rs	-
e023_getUnitInstrList	023/130	0	12	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:266	720-731	src/bridges/sentient_to_progir/uniform/block.rs	-
e024_insertInstruction	024/130	0	5	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:322	734-738	src/bridges/sentient_to_progir/uniform/block.rs	-
e025_setCurrentRegion	025/130	0	4	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:327	741-744	src/bridges/sentient_to_progir/uniform/block.rs	-
e026_getMaxInstrSize	026/130	0	8	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:331	747-754	src/bridges/sentient_to_progir/uniform/block.rs	-
e027_getCurrentRegionInstrSize	027/130	0	5	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:360	757-761	src/bridges/sentient_to_progir/uniform/block.rs	-
e028_getInstr	028/130	0	8	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:365	764-771	src/bridges/sentient_to_progir/uniform/block.rs	-
e029_getLastInstr	029/130	0	3	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:374	774-776	src/bridges/sentient_to_progir/uniform/block.rs	-
e030_appendEmptyUniformRegion	030/130	0	4	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:378	779-782	src/bridges/sentient_to_progir/uniform/block.rs	-
e031_getMaxInstrSize	031/130	0	7	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:426	785-791	src/bridges/sentient_to_progir/uniform/block.rs	-
e032_appendRegularBlock	032/130	0	3	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:442	794-796	src/bridges/sentient_to_progir/uniform/block.rs	-
e033_appendUniformBlock	033/130	0	3	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:445	799-801	src/bridges/sentient_to_progir/uniform/block.rs	-
e034_getUniformInstr	034/130	0	6	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:449	804-809	src/bridges/sentient_to_progir/uniform/block.rs	-
e035_doesInstrWithThisIndexExist	035/130	0	7	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:456	812-818	src/bridges/sentient_to_progir/uniform/block.rs	-
e036_appendEmptyUniformRegion	036/130	0	4	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:497	821-824	src/bridges/sentient_to_progir/uniform/block.rs	-
