unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e500_updateUniformizeRegionsOperation	500/656	3	166	38	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:325	19956-19995	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e041_getInfluenceType,e422_insert
e501_runOn	501/656	3	178	4	dcc/src/Transform/Sentient/ImplicitSyncRE.cpp:77	20004-20008	crates/compiler/deeptools/src/transform/sentient/implicit_sync_re/mod.rs	e438_runOn
e502_reconstructOperation	502/656	3	214	259	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:546	20017-20278	crates/compiler/deeptools/src/transform/sentient/live_range_reduction/mod.rs	e057_print,e252_size,e443_createMapAndQuery
e503_mapAllValues	503/656	3	215	48	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:827	20287-20336	crates/compiler/deeptools/src/transform/sentient/live_range_reduction/mod.rs	e440_addToMap
e504_optimizeUniformRegionYieldedValues	504/656	3	221	47	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:1167	20345-20393	crates/compiler/deeptools/src/transform/sentient/live_range_reduction/mod.rs	e239_getOperationOfBlock,e252_size,e442_addResultToYield
e505_transform	505/656	3	229	91	dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:347	20402-20494	crates/compiler/deeptools/src/transform/sentient/local_region_splitting_for_value_commoning/mod.rs	e252_size,e395_pruneOutOfScopeEntries,e422_insert
e506_canAbsorbToTheLeft	506/656	3	238	99	dcc/src/Transform/Sentient/LoopAbsorption.cpp:135	20503-20603	crates/compiler/deeptools/src/transform/sentient/loop_absorption/loop_absorption_manager.rs	e068_doChildrenLeftSiblingSubtreeHeightsMatch,e422_insert
e507_canAbsorbToTheRight	507/656	3	241	103	dcc/src/Transform/Sentient/LoopAbsorption.cpp:282	20612-20716	crates/compiler/deeptools/src/transform/sentient/loop_absorption/loop_absorption_manager.rs	e069_doChildrenRightSiblingSubtreeHeightsMatch,e422_insert
e508_loopsAreMergeable	508/656	3	264	94	dcc/src/Transform/Sentient/LoopMerging.cpp:83	20725-20820	crates/compiler/deeptools/src/transform/sentient/loop_merging/mod.rs	e075_getNextEligibleOp,e252_size,e422_insert
e509_insertNextInstr	509/656	3	270	15	dcc/src/Transform/Sentient/LoopRolling.cpp:114	20829-20844	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e422_insert
