unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e119_replaceDimsInMapWithSyms	119/384	0	7	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:47	1708-1716	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e120_createEqualityCondition	120/384	0	7	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:253	1718-1726	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e121_createInequalityCondition	121/384	0	14	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:263	1728-1743	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e122_setBuilderToInsertRef	122/384	0	6	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:280	1745-1752	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e123_calculateStartElementsForPage	123/384	0	10	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:532	1754-1765	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e124_createNonPagedMemView	124/384	0	10	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:545	1767-1778	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e125_cloneMemViewIfNonPaged	125/384	0	9	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:633	1780-1790	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e126_getUseChain	126/384	0	3	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:673	1792-1796	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e127_cloneUseChain	127/384	0	3	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:678	1798-1802	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e128_createNewMemOp	128/384	0	9	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:684	1804-1814	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e129_eraseMemOpAndUseChain	129/384	0	3	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:698	1816-1820	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e130_getStoreOp	130/384	0	6	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:843	1822-1829	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e131_addTimeDimIndicesRanges	131/384	0	5	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:876	1831-1837	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e132_identifyTimeDimForExplicitLoops	132/384	0	10	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:963	1839-1850	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e133_getUseChain	133/384	0	2	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.hpp:328	1852-1855	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e134_cloneUseChain	134/384	0	0	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.hpp:341	1857-1857	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e135_eraseMemOpAndUseChain	135/384	0	0	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.hpp:364	1859-1859	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e136_TPMVBase	136/384	0	0	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.hpp:389	1861-1861	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e137_TPMVVector	137/384	0	0	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.hpp:397	1863-1863	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e138_TPMVComposite	138/384	0	0	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.hpp:519	1865-1865	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e139_run	139/384	0	48	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewManager.cpp:21	1867-1916	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_manager.rs	-
e140_removeCoresCoreletsFoldsFromProgramUnit	140/384	0	20	dcc/src/Transform/Dataflow/UnitFiltering.cpp:240	1918-1939	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	-
e141_isDataTransfer	141/384	0	11	dcc/src/Transform/Dataflow/UnitFiltering.cpp:314	1941-1953	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	-
